Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Timo Werner,11,Chelsea,Forward,Germany,24,2,1,1,0,2,0,0,0,0,0,6,1,17.00%,0,0,0,0,0,0,1,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,49,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
Tammy Abraham,9,Chelsea,Forward,England,22,68,25,29,20,0.29,3,16,0,0,0,133,56,42.00%,3,26,0.38,0,0,0,18,0,0,26,8,39,32,0,0,0,0,0,0,0,0,0,0,4,0.06,721,10.6,6,0.09,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,35
Olivier Giroud,18,Chelsea,Forward,France,33,238,133,56,86,0.36,31,8,47,2,0,548,212,39.00%,19,82,0.34,0,0,0,145,0,0,104,64,178,116,0,0,0,0,0,0,0,0,0,0,28,0.12,4718,19.82,40,0.17,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,223,120
Callum Hudson-Odoi,20,Chelsea,Forward,England,19,35,18,12,1,0.03,0,1,0,0,0,29,8,28.00%,1,2,0.06,0,0,0,18,0,0,14,8,4,2,0,0,0,0,0,0,0,0,0,0,6,0.17,641,18.31,8,0.23,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,6
Jordan Ayew,9,Crystal-Palace,Forward,Ghana,29,139,37,71,25,0.18,4,17,4,2,0,226,78,35.00%,8,13,0.09,0,0,0,226,0,0,73,76,55,34,0,0,0,0,0,0,0,0,0,0,9,0.06,2968,21.35,12,0.09,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,222,44
Wilfried Zaha,11,Crystal-Palace,Forward,Cote D'Ivoire,27,217,70,94,39,0.18,1,31,7,1,0,336,119,35.00%,7,32,0.15,0,0,0,294,0,0,106,123,32,8,0,0,0,0,0,0,0,0,0,0,24,0.11,4555,20.99,36,0.17,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,287,79
Christian Benteke,17,Crystal-Palace,Forward,Belgium,29,225,73,107,72,0.32,26,37,9,10,1,544,208,38.00%,14,82,0.36,0,0,0,80,0,0,117,26,214,148,0,0,0,0,0,0,0,0,0,0,20,0.09,5666,25.18,31,0.14,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,357,203
Connor Wickham,21,Crystal-Palace,Forward,England,27,120,29,59,19,0.16,4,10,5,1,0,189,59,31.00%,6,12,0.1,0,0,0,93,0,0,56,53,109,63,0,0,0,0,0,0,0,0,0,0,7,0.06,2003,16.69,5,0.04,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,147,26
Brandon Pierrick,40,Crystal-Palace,Forward,England,18,2,0,1,0,2,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michy Batshuayi,23,Crystal-Palace,Forward,Belgium,26,60,37,15,13,0.22,1,8,4,0,0,73,25,34.00%,1,9,0.15,0,0,0,13,0,0,22,7,6,5,0,0,0,0,0,0,0,0,0,0,3,0.05,421,7.02,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29
Sandro Ramírez,28,Everton,Forward,Spain,25,8,2,4,0,8,0,0,0,0,0,9,1,11.00%,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,10.25,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Yannick Bolasie,29,Everton,Forward,The Democratic Republic Of Congo,31,119,38,51,11,0.09,1,8,2,0,0,219,72,33.00%,8,8,0.07,0,0,0,151,0,0,55,48,107,58,0,0,0,0,0,0,0,0,0,0,17,0.14,2124,17.85,25,0.21,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,140,46
Richarlison,7,Everton,Forward,Brazil,23,111,41,47,31,0.28,7,12,11,0,0,280,85,30.00%,7,28,0.25,0,0,0,190,0,0,80,53,109,79,0,0,0,0,0,0,0,0,0,0,10,0.09,2452,22.09,22,0.2,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,114,56
Dominic Calvert-Lewin,9,Everton,Forward,England,23,116,43,46,28,0.24,12,12,4,0,0,195,77,39.00%,4,31,0.27,0,0,0,42,0,0,37,29,85,66,0,0,0,0,0,0,0,0,0,0,9,0.08,1588,13.69,9,0.08,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,138,36
Theo Walcott,11,Everton,Forward,England,31,346,176,93,75,0.22,3,60,12,0,0,616,267,43.00%,18,79,0.23,0,0,0,214,0,0,141,149,81,29,0,0,0,0,0,0,0,0,0,0,51,0.15,5491,15.87,61,0.18,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,101,163
Cenk Tosun,14,Everton,Forward,Turkey,29,49,14,19,10,0.2,5,3,2,0,0,71,30,42.00%,0,6,0.12,0,0,0,23,0,0,12,6,16,11,0,0,0,0,0,0,0,0,0,0,3,0.06,619,12.63,4,0.08,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,50,19
Alex Iwobi,17,Everton,Forward,Nigeria,24,126,59,41,12,0.1,2,9,1,0,0,157,65,41.00%,4,10,0.08,0,0,0,99,0,0,46,44,33,15,0,0,0,0,0,0,0,0,0,0,16,0.13,3921,31.12,23,0.18,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,42,6
Bernard,20,Everton,Forward,Brazil,28,61,23,23,4,0.07,0,4,0,0,0,35,10,29.00%,2,5,0.08,0,0,0,81,0,0,14,43,19,4,0,0,0,0,0,0,0,0,0,0,5,0.08,1346,22.07,7,0.11,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,36,2
Moise Kean,27,Everton,Forward,Italy,20,31,9,13,2,0.06,0,2,0,0,0,31,13,42.00%,0,4,0.13,0,0,0,6,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0.06,131,4.23,5,0.16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,4
Anthony Gordon,24,Everton,Forward,England,19,11,3,4,0,11,0,0,0,0,0,6,1,17.00%,0,0,0,0,0,0,11,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0.09,113,10.27,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
Aleksandar Mitrovic,9,Fulham,Forward,Serbia,26,79,17,46,23,0.29,11,10,2,4,0,221,85,38.00%,7,24,0.3,0,0,0,44,0,0,46,13,88,76,0,0,0,0,0,0,0,0,0,0,7,0.09,1841,23.3,6,0.08,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,117,51
Bobby De Cordova-Reid,14,Fulham,Forward,Jamaica,27,29,7,19,6,0.21,0,5,1,1,0,29,10,34.00%,0,1,0.03,0,0,0,17,0,0,8,3,12,4,0,0,0,0,0,0,0,0,0,0,2,0.07,324,11.17,1,0.03,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
Ivan Cavaleiro,17,Fulham,Forward,Portugal,26,25,10,11,3,0.12,0,3,0,0,0,13,4,31.00%,2,1,0.04,0,0,0,6,0,0,2,7,5,3,0,0,0,0,0,0,0,0,0,0,1,0.04,357,14.28,2,0.08,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,6
Aboubakar Kamara,47,Fulham,Forward,France,25,15,2,10,3,0.2,0,3,0,1,0,22,10,45.00%,0,4,0.27,0,0,0,8,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,262,17.47,1,0.07,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,7
Ian Poveda-Ocampo,7,Leeds-United,Forward,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Bamford,9,Leeds-United,Forward,England,27,29,4,20,3,0.1,1,2,0,0,0,20,9,45.00%,1,2,0.07,0,0,0,14,0,0,6,6,9,5,0,0,0,0,0,0,0,0,0,0,1,0.03,193,6.66,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,7
Tyler Roberts,11,Leeds-United,Forward,Wales,21,3,1,1,0,3,0,0,0,0,0,2,1,50.00%,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
Joe Gelhardt,30,Leeds-United,Forward,England,18,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Moreno,20,Leeds-United,Forward,Spain,29,19,4,12,1,0.05,0,0,1,0,0,20,5,25.00%,1,0,0,0,0,0,15,0,0,6,12,5,2,0,0,0,0,0,0,0,0,0,0,1,0.05,190,10,5,0.26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
Jamie Vardy,9,Leicester-City,Forward,England,33,213,86,77,105,0.49,12,66,27,20,0,458,223,49.00%,15,78,0.37,0,0,0,124,0,0,82,59,90,62,0,0,0,0,0,0,0,0,0,0,29,0.14,2961,13.9,50,0.23,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,179,195
Islam Slimani,13,Leicester-City,Forward,Algeria,32,39,14,18,8,0.21,5,3,0,1,0,42,17,40.00%,2,9,0.23,0,0,0,14,0,0,5,4,6,4,0,0,0,0,0,0,0,0,0,0,5,0.13,580,14.87,2,0.05,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,15
Kelechi Iheanacho,14,Leicester-City,Forward,Nigeria,23,117,42,45,21,0.18,4,3,13,0,0,133,56,42.00%,2,17,0.15,0,0,0,38,0,0,39,11,21,13,0,0,0,0,0,0,0,0,0,0,13,0.11,1327,11.34,15,0.13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,80,30
Ayoze Pérez,17,Leicester-City,Forward,Spain,27,178,58,79,41,0.23,6,29,6,1,0,275,114,41.00%,5,22,0.12,0,0,0,240,0,0,60,137,96,41,0,0,0,0,0,0,0,0,0,0,13,0.07,3435,19.3,26,0.15,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,182,46
Fousseni Diabaté,27,Leicester-City,Forward,Mali,24,15,3,7,0,15,0,0,0,0,0,6,2,33.00%,0,1,0.07,0,0,0,11,55%,0,0,8,7,5,0,35,57,53,16,1.07,15,13,0,0,1,0.07,241,16.07,0,0,12,33%,1,4,0.27,0,0,0,0,0,0,0,0,0,0,1,0,1,2
Roberto Firmino,9,Liverpool,Forward,Brazil,28,177,115,23,57,0.32,13,29,14,2,0,424,182,43.00%,10,51,0.29,0,0,0,259,0,0,121,73,61,47,0,0,0,0,0,0,0,0,0,0,36,0.2,6222,35.15,50,0.28,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,206,60
Sadio Mané,10,Liverpool,Forward,Senegal,28,196,121,35,86,0.44,11,52,23,0,0,445,190,43.00%,13,65,0.33,0,0,0,226,0,0,92,97,53,26,0,0,0,0,0,0,0,0,0,0,29,0.15,6136,31.31,43,0.22,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,215,117
Mohamed Salah,11,Liverpool,Forward,Egypt,28,123,90,12,78,0.63,4,11,63,9,0,449,201,45.00%,11,58,0.47,0,0,0,58,0,0,114,25,11,6,0,0,0,0,0,0,0,0,0,0,29,0.24,3357,27.29,41,0.33,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,63,65
Takumi Minamino,18,Liverpool,Forward,Japan,25,11,7,3,0,11,0,0,0,0,0,8,2,25.00%,0,1,0.09,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,107,9.73,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Rhian Brewster,24,Liverpool,Forward,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,27,Liverpool,Forward,Belgium,25,91,57,14,19,0.21,6,11,2,0,0,89,39,44.00%,4,8,0.09,0,0,0,34,0,0,22,7,9,3,0,0,0,0,0,0,0,0,0,0,6,0.07,861,9.46,3,0.03,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,26
Ben Woodburn,58,Liverpool,Forward,Wales,20,6,5,1,0,6,0,0,0,0,0,2,0,2.00%,0,0,0,0,0,0,4,75%,0,2,0,0,0,0,6,7,12,1,0.17,1,3,0,0,0,0,40,6.67,0,0,5,20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Diogo Jota,20,Liverpool,Forward,Portugal,23,67,27,19,16,0.24,0,8,8,0,0,127,50,39.00%,4,20,0.3,0,0,0,56,0,0,35,22,20,14,0,0,0,0,0,0,0,0,0,0,6,0.09,1585,23.66,13,0.19,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,84,9
Ferran Torres,21,Manchester-City,Forward,Spain,20,1,1,0,0,1,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raheem Sterling,7,Manchester-City,Forward,England,25,260,161,55,86,0.33,6,55,25,1,0,545,222,41.00%,20,72,0.28,0,0,0,256,0,0,155,125,52,20,0,0,0,0,0,0,0,0,0,0,45,0.17,8317,31.99,61,0.23,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,297,95
Gabriel Jesus,9,Manchester-City,Forward,Brazil,23,103,80,12,42,0.41,8,22,12,2,0,227,122,54.00%,7,58,0.56,0,0,0,56,0,0,38,25,17,13,0,0,0,0,0,0,0,0,0,0,17,0.17,1830,17.77,16,0.16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,79,59
Sergio Agüero,10,Manchester-City,Forward,Argentina,32,263,177,44,180,0.68,18,127,34,26,0,996,411,41.00%,34,126,0.48,0,0,0,150,0,0,230,73,14,3,0,0,0,0,0,0,0,0,0,0,46,0.17,6134,23.32,59,0.22,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,167,194
Riyad Mahrez,26,Manchester-City,Forward,Algeria,29,199,98,58,57,0.29,3,9,44,8,3,426,185,43.00%,10,28,0.14,0,0,0,211,0,0,125,141,50,22,0,0,0,0,0,0,0,0,0,0,40,0.2,6019,30.25,80,0.4,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,117,45
Liam Delap,48,Manchester-City,Forward,England,17,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Martial,9,Manchester-United,Forward,France,24,146,73,37,51,0.35,4,36,11,2,0,268,122,46.00%,5,24,0.16,0,0,0,77,0,0,72,29,56,30,0,0,0,0,0,0,0,0,0,0,23,0.16,3712,25.42,35,0.24,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,125,49
Marcus Rashford,10,Manchester-United,Forward,England,22,143,76,28,44,0.31,4,35,5,6,1,301,130,43.00%,9,39,0.27,0,0,0,74,0,0,75,35,70,34,0,0,0,0,0,0,0,0,0,0,21,0.15,2979,20.83,27,0.19,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,90,52
Odion Ighalo,25,Manchester-United,Forward,Nigeria,31,67,23,27,16,0.24,1,12,3,0,0,153,62,41.00%,3,25,0.37,0,0,0,39,0,0,36,18,30,16,0,0,0,0,0,0,0,0,0,0,4,0.06,1045,15.6,1,0.01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,65,37
Mason Greenwood,11,Manchester-United,Forward,England,18,35,14,10,10,0.29,0,2,8,0,0,49,24,49.00%,2,5,0.14,0,0,0,20,0,0,9,6,6,2,0,0,0,0,0,0,0,0,0,0,1,0.03,577,16.49,1,0.03,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
Andy Carroll,7,Newcastle-United,Forward,England,31,232,81,92,53,0.23,24,6,23,2,1,534,172,32.00%,12,49,0.21,0,0,0,103,0,0,107,74,323,195,0,0,0,0,0,0,0,0,0,0,22,0.09,4726,20.37,28,0.12,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,321,77
Joelinton,9,Newcastle-United,Forward,Brazil,24,40,12,17,2,0.05,0,1,1,0,0,51,15,29.00%,1,8,0.2,0,0,0,36,0,0,13,11,31,20,0,0,0,0,0,0,0,0,0,0,2,0.05,836,20.9,3,0.08,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,22
Allan Saint-Maximin,10,Newcastle-United,Forward,France,23,28,11,9,3,0.11,1,2,0,0,0,47,21,45.00%,2,4,0.14,0,0,0,15,0,0,14,9,5,1,0,0,0,0,0,0,0,0,0,0,4,0.14,458,16.36,8,0.29,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3
Dwight Gayle,12,Newcastle-United,Forward,England,29,119,28,64,25,0.21,2,16,7,2,2,160,59,37.00%,4,23,0.19,0,0,0,61,0,0,41,26,41,26,0,0,0,0,0,0,0,0,0,0,6,0.05,1201,10.09,6,0.05,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,77,34
Callum Wilson,13,Newcastle-United,Forward,England,28,128,39,60,42,0.33,7,26,7,5,0,226,91,40.00%,5,42,0.33,0,0,0,41,0,0,47,19,48,31,0,0,0,0,0,0,0,0,0,0,12,0.09,1694,13.23,21,0.16,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,177,94
Oliver McBurnie,9,Sheffield-United,Forward,Scotland,24,54,17,25,6,0.11,2,4,0,0,0,60,31,52.00%,0,10,0.19,0,0,0,45,0,0,8,17,45,40,0,0,0,0,0,0,0,0,0,0,1,0.02,785,14.54,3,0.06,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,35,5
Billy Sharp,10,Sheffield-United,Forward,England,34,28,7,13,3,0.11,1,1,1,0,0,17,7,41.00%,1,6,0.21,0,0,0,7,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0.07,233,8.32,5,0.18,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,14
