Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Dale Stephens,6,Brighton-and-Hove-Albion,Midfielder,England,31,99,24,45,1,0.01,0,0,1,0,0,49,5,10%,1,0,0,0,0,0,261,63%,0,16,167,152,90,0,724,402,445,35,0.35,73,75,0,0,5,0.05,4785,48.33,4,0.04,6,17%,7,381,3.85,0,0,0,0,0,0,0,0,0,0,20,1,136,0
Yves Bissouma,8,Brighton-and-Hove-Albion,Midfielder,Mali,24,52,13,26,1,0.02,0,1,0,0,0,51,10,20%,1,2,0.04,0,0,0,115,63%,0,11,57,48,23,0,239,285,261,79,1.52,48,49,0,1,0,0,1441,27.71,1,0.02,14,21%,6,74,1.42,0,0,0,0,0,0,0,0,0,0,9,1,74,2
Alexis Mac Allister,10,Brighton-and-Hove-Albion,Midfielder,Argentina,21,9,3,2,0,9,0,0,0,0,0,7,1,14%,0,1,0.11,0,0,0,9,56%,0,3,1,1,0,0,15,17,22,2,0.22,3,5,0,0,0,0,98,10.89,0,0,23,13%,0,2,0.22,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Pascal Grob,13,Brighton-and-Hove-Albion,Midfielder,Germany,29,93,20,42,12,0.13,2,9,1,2,1,97,38,39%,1,3,0.03,0,0,0,101,50%,0,29,37,48,15,0,313,216,387,21,0.23,49,123,0,0,15,0.16,2937,31.58,35,0.38,522,31%,17,166,1.78,0,0,0,0,0,0,0,0,0,0,7,0,67,22
Adam Lallana,14,Brighton-and-Hove-Albion,Midfielder,England,32,198,98,50,30,0.15,1,12,15,0,0,274,96,35%,8,24,0.12,0,0,0,322,75%,0,91,166,126,49,0,839,886,1078,209,1.06,120,249,0,0,28,0.14,6407,32.36,25,0.13,489,20%,47,146,0.74,0,0,0,0,0,0,0,0,0,0,17,0,142,57
Solly March,20,Brighton-and-Hove-Albion,Midfielder,England,26,92,21,42,2,0.02,1,0,1,0,0,93,26,28%,2,4,0.04,0,0,0,140,56%,0,31,62,66,24,0,345,372,456,116,1.26,52,124,0,0,7,0.08,1971,21.42,13,0.14,329,23%,3,100,1.09,0,0,0,0,0,0,0,0,0,0,6,0,70,15
Davy Pröpper,24,Brighton-and-Hove-Albion,Midfielder,Netherlands,29,100,24,44,2,0.02,1,1,0,0,0,80,15,19%,2,6,0.06,0,0,0,187,57%,0,22,151,134,54,0,673,456,472,112,1.12,112,89,0,2,7,0.07,4384,43.84,7,0.07,67,15%,7,258,2.58,0,0,0,0,0,0,0,0,0,0,8,1,105,3
Steven Alzate,17,Brighton-and-Hove-Albion,Midfielder,Colombia,22,21,6,9,0,21,0,0,0,0,0,15,4,27%,0,1,0.05,0,0,0,34,0,0,7,15,13,11,0,0,0,0,0,0,0,0,0,0,0,0,681,32.43,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,3
Max Sanders,41,Brighton-and-Hove-Albion,Midfielder,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Molumby,49,Brighton-and-Hove-Albion,Midfielder,Ireland,21,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lars Dendoncker,53,Brighton-and-Hove-Albion,Midfielder,Belgium,19,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Gwargis,55,Brighton-and-Hove-Albion,Midfielder,Sweden,20,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Cork,4,Burnley,Midfielder,England,31,264,96,105,8,0.03,3,3,2,0,0,137,42,31%,2,6,0.02,0,0,0,466,71%,0,43,400,477,207,0,1565,1312,1335,184,0.7,393,479,0,1,9,0.03,11059,41.89,11,0.04,151,17%,34,591,2.24,0,0,0,0,0,0,0,0,0,0,32,0,211,13
Jóhann Gudmundsson,7,Burnley,Midfielder,Iceland,29,96,28,44,7,0.07,2,0,5,0,0,114,37,32%,8,1,0.01,0,0,0,93,61%,0,32,91,90,33,0,386,313,369,63,0.66,93,115,0,0,17,0.18,1750,18.23,12,0.13,439,32%,3,82,0.85,0,0,0,0,0,0,0,0,0,0,5,0,41,6
Josh Brownhill,8,Burnley,Midfielder,England,24,11,5,3,0,11,0,0,0,0,0,8,0,8%,0,1,0.09,0,0,0,15,53%,0,3,19,17,8,0,52,52,42,8,0.73,21,20,0,0,0,0,368,33.45,0,0,3,3%,0,10,0.91,0,0,0,0,0,0,0,0,0,0,2,0,8,0
Dwight McNeil,11,Burnley,Midfielder,England,20,61,23,25,5,0.08,0,0,5,0,0,75,20,27%,3,2,0.03,0,0,0,83,0,0,25,43,59,25,0,0,0,0,0,0,0,0,0,0,12,0.2,1509,24.74,17,0.28,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,45,1
Robbie Brady,12,Burnley,Midfielder,Ireland,28,142,37,77,9,0.06,0,2,7,2,1,155,42,27%,7,1,0.01,0,0,0,241,73%,0,54,136,214,97,0,578,596,572,129,0.91,136,111,0,2,12,0.08,3280,23.1,23,0.16,724,26%,12,195,1.37,0,0,0,0,0,0,0,0,0,0,15,1,117,13
Ashley Westwood,18,Burnley,Midfielder,England,30,222,65,106,9,0.04,0,9,0,0,1,137,34,25%,1,5,0.02,0,0,0,336,68%,0,48,321,241,62,0,1309,586,616,36,0.16,94,124,0,1,25,0.11,9880,44.5,39,0.18,657,32%,22,790,3.56,0,0,0,0,0,0,0,0,0,0,38,0,195,2
Josh Benson,41,Burnley,Midfielder,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hakim Ziyech,22,Chelsea,Midfielder,Morocco,27,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,5,Chelsea,Midfielder,Italy,28,70,37,18,7,0.1,0,7,0,5,0,33,13,39%,0,1,0.01,0,0,0,147,54%,0,9,130,64,29,0,533,256,306,28,0.4,29,60,0,0,3,0.04,5482,78.31,12,0.17,12,17%,50,231,3.3,0,0,0,0,0,0,0,0,0,0,18,0,63,0
N'Golo Kanté,7,Chelsea,Midfielder,France,29,166,98,35,10,0.06,0,6,4,0,0,120,29,24%,0,7,0.04,0,0,0,540,65%,0,46,420,184,77,0,1320,922,920,190,1.14,123,204,0,2,10,0.06,8952,53.93,15,0.09,86,29%,28,364,2.19,0,0,0,0,0,0,0,0,0,0,22,0,218,7
Ross Barkley,8,Chelsea,Midfielder,England,26,202,91,59,25,0.12,2,16,7,2,2,411,119,29%,10,25,0.12,0,0,0,172,73%,0,145,76,108,85,0,755,973,1048,376,1.86,170,168,0,2,27,0.13,7686,38.05,32,0.16,322,22%,59,469,2.32,0,0,0,0,0,0,0,0,0,0,18,0,155,19
Ruben Loftus-Cheek,12,Chelsea,Midfielder,England,24,78,35,22,9,0.12,2,6,1,0,0,78,19,24%,1,6,0.08,0,0,0,54,69%,0,27,44,41,27,0,266,355,337,131,1.68,65,93,0,0,6,0.08,1854,23.77,7,0.09,16,19%,6,50,0.64,0,0,0,0,0,0,0,0,0,0,1,0,39,6
Mateo Kovacic,17,Chelsea,Midfielder,Croatia,26,64,34,16,1,0.02,0,1,0,0,0,49,9,18%,1,2,0.03,0,0,0,108,62%,0,24,30,34,17,0,300,320,222,120,1.88,19,27,0,0,5,0.08,3398,53.09,4,0.06,16,13%,19,128,2,0,0,0,0,0,0,0,0,0,0,11,0,40,0
Mason Mount,19,Chelsea,Midfielder,England,21,39,20,13,7,0.18,0,7,0,0,1,80,29,36%,3,9,0.23,0,0,0,43,44%,0,28,18,19,7,0,151,136,211,44,1.13,10,48,0,0,5,0.13,1312,33.64,8,0.21,138,25%,3,28,0.72,0,0,0,0,0,0,0,0,0,0,3,0,40,4
Christian Pulisic,10,Chelsea,Midfielder,United States,22,25,13,9,9,0.36,2,4,3,0,0,63,26,41%,1,8,0.32,0,0,0,23,48%,0,15,6,7,4,0,79,128,190,55,2.2,20,45,0,0,4,0.16,668,26.72,6,0.24,35,11%,4,19,0.76,0,0,0,0,0,0,0,0,0,0,0,0,14,3
Billy Gilmour,23,Chelsea,Midfielder,Scotland,19,6,5,0,0,6,0,0,0,0,0,1,0,1%,0,0,0,0,0,0,5,40%,0,0,3,2,1,0,15,10,16,2,0.33,2,5,0,0,0,0,172,28.67,0,0,1,1%,0,9,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Kai Havertz,29,Chelsea,Midfielder,Germany,21,2,1,1,0,2,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,3,67%,0,0,0,1,1,0,10,6,9,1,0.5,2,2,0,0,0,0,41,20.5,0,0,1,1%,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Luka Milivojevic,4,Crystal-Palace,Midfielder,Serbia,29,121,41,53,27,0.22,0,27,0,21,3,144,55,38%,5,4,0.03,0,0,0,264,64%,0,41,227,202,91,0,736,597,597,56,0.46,167,137,0,4,4,0.03,5573,46.06,8,0.07,376,27%,9,394,3.26,0,0,0,0,0,0,0,0,0,0,34,0,207,2
Max Meyer,7,Crystal-Palace,Midfielder,Germany,25,46,11,24,1,0.02,0,0,1,0,0,47,10,21%,1,0,0,0,0,0,52,56%,0,14,22,20,4,0,116,111,110,19,0.41,6,25,0,0,2,0.04,864,18.78,0,0,33,15%,0,19,0.41,0,0,0,0,0,0,0,0,0,0,4,0,16,3
Cheikhou Kouyaté,8,Crystal-Palace,Midfielder,Senegal,30,197,64,76,13,0.07,5,7,0,0,0,167,54,32%,8,12,0.06,0,0,0,446,65%,0,33,310,412,260,0,1035,1311,1091,125,0.63,547,431,0,1,10,0.05,5799,29.44,3,0.02,104,16%,8,176,0.89,0,0,0,0,0,0,0,0,0,0,25,1,242,16
Andros Townsend,10,Crystal-Palace,Midfielder,England,29,211,78,91,22,0.1,0,5,17,1,1,335,103,31%,6,12,0.06,0,0,0,353,71%,0,112,177,82,21,0,913,1025,1045,414,1.96,19,76,0,2,22,0.1,4717,22.36,40,0.19,923,23%,12,111,0.53,0,0,0,0,0,0,0,0,0,0,14,0,78,22
Jeffrey Schlupp,15,Crystal-Palace,Midfielder,Ghana,27,148,56,61,11,0,1,3,7,0,0,0,0,0,0,0,0,17,153,1.03,278,70%,0,43,177,217,117,0,585,773,757,173,1.17,211,261,1,1,8,0.05,3156,21.32,10,0.07,199,19%,4,163,1.1,0,0,0,0,0,0,0,0,0,0,15,0,109,3
James McArthur,18,Crystal-Palace,Midfielder,Scotland,32,282,93,126,23,0.08,6,10,7,0,0,214,64,30%,3,12,0.04,0,0,0,613,72%,0,68,398,312,108,0,1448,1304,1452,155,0.55,314,385,0,0,18,0.06,10076,35.73,21,0.07,137,18%,32,570,2.02,0,0,0,0,0,0,0,0,0,0,45,0,370,13
James McCarthy,22,Crystal-Palace,Midfielder,Ireland,29,258,87,102,13,0.05,0,10,3,0,0,178,47,26%,4,8,0.03,0,0,0,674,73%,0,65,421,366,124,0,1284,1190,1014,123,0.48,148,167,0,3,12,0.05,10840,42.02,8,0.03,188,28%,23,835,3.24,0,0,0,0,0,0,0,0,0,0,48,1,309,2
Jairo Riedewald,44,Crystal-Palace,Midfielder,Netherlands,24,29,8,13,0,29,0,0,0,0,0,4,0,4%,0,0,0,0,0,0,25,72%,0,2,29,31,14,0,70,45,33,11,0.38,7,8,0,0,0,0,484,16.69,0,0,8,38%,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Eberechi Eze,25,Crystal-Palace,Midfielder,England,22,2,2,0,0,2,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,2,100%,0,0,0,0,0,0,5,4,8,2,1,0,1,0,0,0,0,14,7,0,0,3,67%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nya Kirby,37,Crystal-Palace,Midfielder,England,20,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Delph,8,Everton,Midfielder,England,30,185,76,73,7,0.04,0,1,6,0,0,144,36,25%,5,3,0.02,0,0,0,395,71%,0,36,283,213,55,0,1011,987,706,259,1.4,130,165,0,5,8,0.04,8857,47.88,7,0.04,195,27%,13,508,2.75,0,0,0,0,0,0,0,0,0,0,29,3,140,1
Gylfi Sigurdsson,10,Everton,Midfielder,Iceland,31,284,114,110,61,0.21,3,45,13,9,7,603,221,37%,20,31,0.11,0,0,0,348,67%,0,203,283,163,44,0,1015,863,1223,197,0.69,88,246,0,1,45,0.16,7752,27.3,68,0.24,1363,26%,95,204,0.72,0,0,0,0,0,0,0,0,0,0,20,0,193,16
André Gomes,21,Everton,Midfielder,Portugal,27,48,18,19,1,0.02,0,1,0,0,0,27,5,19%,0,1,0.02,0,0,0,64,63%,0,6,27,25,16,0,308,229,338,66,1.38,56,45,0,0,2,0.04,2169,45.19,2,0.04,28,21%,4,187,3.9,0,0,0,0,0,0,0,0,0,0,13,0,89,0
Jean-Philippe Gbamin,25,Everton,Midfielder,Cote D'Ivoire,24,2,1,0,0,2,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,4,75%,0,0,1,4,3,0,8,11,10,2,1,3,2,0,0,0,0,70,35,0,0,0,0%,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Tom Davies,26,Everton,Midfielder,England,22,106,46,34,5,0.05,1,2,2,0,0,60,15,25%,2,4,0.04,0,0,0,132,61%,0,25,100,63,33,0,415,417,486,76,0.72,72,118,0,0,4,0.04,2909,27.44,5,0.05,43,19%,9,135,1.27,0,0,0,0,0,0,0,0,0,0,22,0,116,9
Beni Baningime,34,Everton,Midfielder,The Democratic Republic Of Congo,22,8,2,2,0,8,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,6,33%,0,0,2,1,0,0,9,9,14,1,0.13,1,2,0,0,0,0,82,10.25,0,0,0,0%,0,3,0.38,0,0,0,0,0,0,0,0,0,0,1,0,4,0
Allan,6,Everton,Midfielder,Brazil,29,2,2,0,0,2,0,0,0,0,0,1,1,100%,0,0,0,0,0,0,9,56%,0,0,3,3,1,0,18,16,13,2,1,1,2,0,0,0,0,140,70,0,0,2,2%,0,7,3.5,0,0,0,0,0,0,0,0,0,0,0,0,4,0
James Rodríguez,19,Everton,Midfielder,Colombia,29,2,2,0,1,0.5,0,0,1,0,0,4,1,25%,0,0,0,0,0,0,3,33%,0,1,3,0,0,0,9,12,10,3,1.5,1,3,0,0,1,0.5,109,54.5,2,1,7,29%,3,18,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Abdoulaye Doucouré,16,Everton,Midfielder,France,27,131,40,65,17,0.13,2,12,2,0,0,182,54,30%,2,11,0.08,0,0,0,235,58%,0,56,143,163,66,0,1019,576,658,129,0.98,154,168,0,1,11,0.08,6811,51.99,15,0.11,71,20%,7,213,1.63,0,0,0,0,0,0,0,0,0,0,31,0,145,10
Muhamed Besic,30,Everton,Midfielder,Bosnia And Herzegovina,28,46,14,17,0,46,0,0,0,0,0,26,7,27%,1,0,0,0,0,0,93,76%,0,7,34,56,26,0,154,186,165,53,1.15,21,16,0,1,0,0,1339,29.11,2,0.04,18,22%,3,116,2.52,0,0,0,0,0,0,0,0,0,0,11,0,42,0
Jean Michael Seri,24,Fulham,Midfielder,Cote D'Ivoire,29,32,6,21,1,0.03,0,1,0,0,0,19,6,32%,1,1,0.03,0,0,0,41,68%,0,7,32,14,6,0,158,93,112,16,0.5,14,20,0,2,2,0.06,1592,49.75,7,0.22,108,36%,2,98,3.06,0,0,0,0,0,0,0,0,0,0,6,0,32,1
Kevin McDonald,6,Fulham,Midfielder,Scotland,31,41,3,29,1,0.02,0,1,0,0,0,19,3,16%,1,0,0,0,0,0,60,70%,0,7,43,37,11,0,131,117,116,10,0.24,28,13,0,0,1,0.02,1285,31.34,0,0,19,11%,8,115,2.8,0,0,0,0,0,0,0,0,0,0,9,1,33,2
Neeskens Kebano,7,Fulham,Midfielder,The Democratic Republic Of Congo,28,9,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0.67,3,33%,0,1,0,3,2,0,13,16,14,7,0.78,4,5,0,0,0,0,57,6.33,0,0,7,14%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Stefan Johansen,8,Fulham,Midfielder,Norway,29,12,1,9,0,12,0,0,0,0,0,1,0,1%,0,0,0,0,0,0,10,30%,0,0,3,5,3,0,35,17,18,2,0.17,3,6,0,0,0,0,250,20.83,0,0,9,11%,0,13,1.08,0,0,0,0,0,0,0,0,0,0,4,0,6,0
Tom Cairney,10,Fulham,Midfielder,Scotland,29,43,7,28,2,0.05,0,0,2,0,0,33,7,21%,2,0,0,0,0,0,57,63%,0,11,32,22,5,0,219,187,146,54,1.26,21,23,0,0,1,0.02,1882,43.77,4,0.09,57,23%,9,104,2.42,0,0,0,0,0,0,0,0,0,0,2,0,22,0
Josh Onomah,25,Fulham,Midfielder,England,23,15,8,4,0,15,0,0,0,0,0,4,2,50%,0,0,0,0,0,0,10,90%,0,1,1,2,0,0,8,17,17,3,0.2,3,2,0,0,0,0,109,7.27,0,0,5,5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
André-Frank Zambo Anguissa,29,Fulham,Midfielder,Cameroon,24,24,4,18,0,24,0,0,0,0,0,22,5,23%,0,0,0,0,0,0,54,59%,0,10,37,30,15,0,135,148,151,52,2.17,24,32,0,0,1,0.04,1113,46.38,1,0.04,3,33%,0,38,1.58,0,0,0,0,0,0,0,0,0,0,1,1,26,2
Mario Lemina,18,Fulham,Midfielder,Gabon,27,47,8,22,2,0.04,0,2,0,0,0,48,10,21%,2,0,0,0,0,0,105,69%,0,12,80,63,35,0,260,278,207,78,1.66,55,30,0,1,2,0.04,1787,38.02,3,0.06,19,21%,9,87,1.85,0,0,0,0,0,0,0,0,0,0,7,0,60,3
Harrison Reed,21,Fulham,Midfielder,England,25,19,9,5,0,19,0,0,0,0,0,6,3,50%,0,0,0,0,0,0,36,83%,0,1,26,14,3,0,45,60,64,2,0.11,7,21,0,0,0,0,419,22.05,0,0,4,4%,0,14,0.74,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Tyrese Francois,35,Fulham,Midfielder,Australia,20,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
