Name,Jersey Number,Club,Position,Nationality,Age,Appearances,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Big chances missed per match,Clean sheets,Goals conceded,Goals conceded per match,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s 1v1,Successful 50/50s per match,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Assists per match,Passes,Passes per match,Big chances created,Big chances created per match,Crosses,Cross accuracy %,Through balls,Accurate long balls,Accurate long balls per match,Saves,Saves per match,Penalties saved,Penalties saved per match,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides
Christian Walton,31,Brighton-and-Hove-Albion,Goalkeeper,England,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Sánchez,26,Brighton-and-Hove-Albion,Goalkeeper,Spain,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Pope,1,Burnley,Goalkeeper,England,28,74,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,89,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2124,28.7,0,0,0,0,0,647,8.74,237,3.2,2,0.03,29,100,18,45,300,605,4,0,1,0
Bailey Peacock-Farrell,15,Burnley,Goalkeeper,Northern Ireland,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Norris,25,Burnley,Goalkeeper,England,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kepa Arrizabalaga,1,Chelsea,Goalkeeper,Spain,25,71,39,20,0,0,0,0,0,0,0,0,0,0,0,0,0,22,89,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2006,28.25,0,0,0,0,0,334,4.7,142,2,1,0.01,16,33,9,22,320,473,2,0,0,0
Willy Caballero,13,Chelsea,Goalkeeper,Argentina,38,33,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,798,24.18,0,0,0,0,0,166,5.03,72,2.18,1,0.03,15,20,5,16,132,166,0,0,0,0
Wayne Hennessey,13,Crystal-Palace,Goalkeeper,Wales,33,181,47,94,0,0,0,0,0,0,0,0,0,0,0,0,0,37,301,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0.01,4858,26.84,0,0,0,0,0,1618,8.94,617,3.41,3,0.02,72,274,96,122,683,1621,4,0,1,0
Vicente Guaita,31,Crystal-Palace,Goalkeeper,Spain,33,57,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,18,66,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1428,25.05,0,0,0,0,0,357,6.26,182,3.19,0,0,37,29,18,14,263,478,3,0,1,0
Stephen Henderson,19,Crystal-Palace,Goalkeeper,Ireland,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Pickford,1,Everton,Goalkeeper,England,26,147,48,65,0,0,0,0,0,0,0,0,0,0,0,0,0,38,218,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4553,30.97,0,0,0,0,0,1273,8.66,462,3.14,4,0.03,71,98,38,65,609,1232,3,0,3,0
João Virgínia,31,Everton,Goalkeeper,Portugal,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Lössl,49,Everton,Goalkeeper,Denmark,31,69,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,14,112,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0.03,2290,33.19,0,0,0,0,0,746,10.81,191,2.77,3,0.04,43,49,9,34,200,527,2,0,0,0
Marek Rodák,12,Fulham,Goalkeeper,Slovakia,23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,8,8,2,2,0,0,0,0,0,1,2,4,0,0,0,0
Fabri,31,Fulham,Goalkeeper,Spain,32,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,23.5,0,0,0,0,0,16,8,16,8,0,0,0,1,1,3,14,14,0,0,0,0
Alphonse Areola,1,Fulham,Goalkeeper,France,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,4,4,3,3,0,0,2,0,0,0,8,3,0,0,0,0
Kiko Casilla,13,Leeds-United,Goalkeeper,Spain,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elia Caprile,25,Leeds-United,Goalkeeper,Italy,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasper Schmeichel,1,Leicester-City,Goalkeeper,Denmark,33,211,91,69,0,0,0,0,0,0,0,0,0,0,0,0,0,65,264,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6198,29.37,0,0,0,0,0,1880,8.91,599,2.84,5,0.02,101,158,84,142,655,1718,11,0,0,0
Danny Ward,12,Leicester-City,Goalkeeper,Wales,27,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,24.5,0,0,0,0,0,8,4,9,4.5,0,0,0,2,3,2,8,12,0,0,0,0
Eldin Jakupovic,35,Leicester-City,Goalkeeper,Switzerland,35,28,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,769,27.46,0,0,0,0,0,202,7.21,94,3.36,2,0.07,15,20,11,19,110,269,0,0,0,0
Loris Karius,22,Liverpool,Goalkeeper,Germany,27,29,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,789,27.21,0,0,0,0,0,124,4.28,51,1.76,1,0.03,15,14,7,17,144,150,1,0,2,0
Alisson,1,Liverpool,Goalkeeper,Brazil,27,69,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,35,48,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.01,1924,27.88,0,0,0,0,0,302,4.38,137,1.99,1,0.01,26,20,12,36,361,388,1,1,1,0
Adrián,13,Liverpool,Goalkeeper,Spain,33,136,56,44,0,0,0,0,0,0,0,0,0,0,0,0,0,37,177,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3401,25.01,0,0,0,0,0,1086,7.99,454,3.34,5,0.04,54,150,53,108,531,1243,10,2,5,0
Caoimhin Kelleher,62,Liverpool,Goalkeeper,Ireland,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Grabara,73,Liverpool,Goalkeeper,Poland,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ederson,31,Manchester-City,Goalkeeper,Brazil,27,110,87,14,0,0,0,0,0,0,0,0,0,0,0,0,0,52,78,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0.01,2781,25.28,0,0,0,0,0,405,3.68,184,1.67,2,0.02,28,45,13,76,538,496,6,1,4,0
Scott Carson,33,Manchester-City,Goalkeeper,England,35,145,44,66,0,0,0,0,0,0,0,0,0,0,0,0,0,30,222,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,0.01,2722,18.77,0,0,0,0,0,832,5.74,433,2.99,3,0.02,66,161,164,23,489,1385,6,1,4,0
Zack Steffen,0,Manchester-City,Goalkeeper,United States,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David de Gea,1,Manchester-United,Goalkeeper,Spain,29,314,174,66,0,0,0,0,0,0,0,0,0,0,0,0,0,113,317,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,7009,22.32,0,0,0,0,0,1943,6.19,870,2.77,2,0.01,108,185,107,87,1205,2452,6,0,1,0
Lee Grant,0,Manchester-United,Goalkeeper,England,37,31,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,30.94,0,0,0,0,0,365,11.77,99,3.19,0,0,21,24,16,21,114,301,1,0,0,0
Sergio Romero,22,Manchester-United,Goalkeeper,Argentina,33,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,25.86,0,0,0,0,0,54,7.71,20,2.86,1,0.14,1,10,2,5,39,38,0,0,0,0
Dean Henderson,26,Manchester-United,Goalkeeper,England,23,36,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,934,25.94,0,0,0,0,0,265,7.36,97,2.69,1,0.03,16,16,7,8,106,261,2,0,0,0
Mark Gillespie,29,Newcastle-United,Goalkeeper,England,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Dubravka,1,Newcastle-United,Goalkeeper,Slovakia,31,88,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,26,117,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2318,26.34,0,0,0,0,0,653,7.42,261,2.97,1,0.01,39,75,16,32,291,756,1,0,0,0
Karl Darlow,26,Newcastle-United,Goalkeeper,England,29,21,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,554,26.38,0,0,0,0,0,171,8.14,65,3.1,1,0.05,13,30,5,9,73,174,0,0,0,0
Daniel Langley,41,Newcastle-United,Goalkeeper,England,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wes Foderingham,18,Sheffield-United,Goalkeeper,England,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Verrips,21,Sheffield-United,Goalkeeper,Netherlands,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Moore,25,Sheffield-United,Goalkeeper,England,30,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,22,0,0,0,0,0,10,5,5,2.5,0,0,0,0,0,0,4,11,0,0,0,0
Aaron Ramsdale,1,Sheffield-United,Goalkeeper,England,22,39,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.03,1000,25.64,0,0,0,0,0,220,5.64,132,3.38,1,0.03,17,21,6,13,188,312,0,0,0,0
Alex McCarthy,1,Southampton,Goalkeeper,England,30,96,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,17,151,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2325,24.22,0,0,0,0,0,628,6.54,314,3.27,1,0.01,59,90,24,28,310,786,3,0,1,0
Angus Gunn,28,Southampton,Goalkeeper,England,24,22,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,520,23.64,0,0,0,0,0,117,5.32,63,2.86,1,0.05,5,6,4,12,44,168,0,0,0,0
Fraser Forster,44,Southampton,Goalkeeper,England,32,107,44,38,0,0,0,0,0,0,0,0,0,0,0,0,0,37,119,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2515,23.5,0,0,0,0,0,773,7.22,259,2.42,2,0.02,31,81,26,21,295,802,4,0,0,0
Harry Lewis,41,Southampton,Goalkeeper,England,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Lloris,1,Tottenham-Hotspur,Goalkeeper,France,33,262,153,56,0,0,0,0,0,0,0,0,0,0,0,0,0,92,277,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6702,25.58,0,0,0,0,0,1543,5.89,703,2.68,5,0.02,177,210,96,257,1234,1888,3,0,3,0
Paulo Gazzaniga,22,Tottenham-Hotspur,Goalkeeper,Argentina,28,43,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,61,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,982,22.84,0,0,0,0,0,221,5.14,127,2.95,1,0.02,18,36,17,31,162,359,1,0,1,0
Joe Hart,12,Tottenham-Hotspur,Goalkeeper,England,33,340,169,97,0,0,0,0,0,0,0,0,0,0,0,0,0,127,383,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,6733,19.8,0,0,0,0,0,1800,5.29,941,2.77,7,0.02,269,391,249,180,1516,2806,7,0,6,0
Alfie Whiteman,41,Tottenham-Hotspur,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Austin,40,Tottenham-Hotspur,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Johnstone,1,West-Bromwich-Albion,Goalkeeper,England,27,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25.5,0,0,0,0,0,16,8,6,3,0,0,0,0,0,0,11,14,0,0,0,0
David Button,25,West-Bromwich-Albion,Goalkeeper,England,31,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,24.75,0,0,0,0,0,27,6.75,14,3.5,0,0,2,2,1,1,9,34,0,0,0,0
Jonathan Bond,23,West-Bromwich-Albion,Goalkeeper,England,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukasz Fabianski,1,West-Ham-United,Goalkeeper,Poland,35,246,91,104,0,0,0,0,0,0,0,0,0,0,0,0,0,63,349,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0.01,6328,25.72,0,0,0,0,0,1895,7.7,807,3.28,6,0.02,155,357,101,123,1260,2016,4,1,6,0
David Martin,25,West-Ham-United,Goalkeeper,England,34,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111,22.2,0,0,0,0,0,40,8,15,3,0,0,1,1,0,0,12,44,1,0,0,0
Darren Randolph,35,West-Ham-United,Goalkeeper,Ireland,33,31,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,58,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,839,27.06,0,0,0,0,0,309,9.97,85,2.74,1,0.03,6,33,8,15,97,262,1,0,0,0
Nathan Trott,34,West-Ham-United,Goalkeeper,England,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rui Patricio,11,Wolverhampton-Wanderers,Goalkeeper,Portugal,32,77,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,21,89,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1530,19.87,0,0,0,0,0,550,7.14,195,2.53,2,0.03,13,32,17,5,244,581,0,0,0,0
John Ruddy,21,Wolverhampton-Wanderers,Goalkeeper,England,33,119,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0,25,190,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2580,21.68,0,0,0,0,0,736,6.18,389,3.27,2,0.02,51,175,76,69,484,1098,3,1,1,0
